id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
6586,01CT,heliport,Berlin Fairgrounds Heliport,41.62730026245117,-72.72750092,60,NA,US,US-CT,Berlin,no,01CT,,01CT,,,
6604,01MA,heliport,Compaq Andover Heliport,42.625099182128906,-71.18009949,140,NA,US,US-MA,Andover,no,01MA,,01MA,,,
6606,01ME,seaplane_base,Saint Peter's Seaplane Base,46.778900146484375,-68.50029755,608,NA,US,US-ME,Portage Lake,no,01ME,,01ME,,,
6613,01NH,small_airport,Moore Airfield,43.6445,-72.086998,835,NA,US,US-NH,Canaan,no,01NH,,01NH,,,Enfield
6645,02CT,heliport,Strangers Point Heliport,41.91960144042969,-72.44450378,540,NA,US,US-CT,Ellington,no,02CT,,02CT,,,
6660,02MA,heliport,Cuttyhunk Heliport,41.419601,-70.927002,9,NA,US,US-MA,Cuttyhunk,no,02MA,,02MA,,,
6661,02ME,small_airport,Nadeau's Airfield,43.537467,-70.930685,700,NA,US,US-ME,Acton,no,02ME,,02ME,,,"Mellion Airport, Old Acton Airfield"
6669,02NH,seaplane_base,Iroquois Landing Seaplane Base,44.657100677490234,-71.21910095,1180,NA,US,US-NH,Dummer,no,02NH,,02NH,,,
6716,03M,seaplane_base,Lakeside Lodge and Marina Seaplane Base,44.3209,-69.889503,165,NA,US,US-ME,East Winthrop,no,03M,,03M,,,
6717,03MA,small_airport,Hadley Airport,42.393431,-72.551553,150,NA,US,US-MA,Hadley,no,03MA,,03MA,,,
6719,03ME,small_airport,Maple Ridge Airport,44.084251,-70.626905,556,NA,US,US-ME,Harrison,no,03ME,,03ME,,,
6729,03NH,heliport,Lorden Heliport,42.815399169921875,-71.12439728,400,NA,US,US-NH,Milford,no,03NH,,03NH,,,
6758,04CT,heliport,Shingle Mill Heliport,41.75510025024414,-73.05239868,880,NA,US,US-CT,Harwinton,no,04CT,,04CT,,,
6773,04MA,small_airport,Goddard Field,42.810908,-71.140959,200,NA,US,US-MA,Haverhill,no,04MA,,04MA,,,
6775,04ME,small_airport,Beech Hill Airport,44.66669845581055,-69.89389801,625,NA,US,US-ME,Mercer,no,04ME,,04ME,,,
6801,04VT,small_airport,Lightning Bolt Field Airport,44.40110016,-72.26360321,2156,NA,US,US-VT,Cabot,no,04VT,,04VT,,,
6810,05B,seaplane_base,Van Buren Seaplane Base,47.158901,-67.931999,440,NA,US,US-ME,Van Buren,no,,,05B,,,
6814,05CT,heliport,O And G Heliport,41.77370071,-73.11620331,600,NA,US,US-CT,Torrington,no,05CT,,05CT,,,
6831,05MA,heliport,Bentley Heliport,42.691200256347656,-70.91230011,80,NA,US,US-MA,Ipswich,no,05MA,,05MA,,,
6833,05ME,small_airport,Drisko Airport,44.65700149536133,-67.55919647,70,NA,US,US-ME,Jonesboro,no,05ME,,05ME,,,
6838,05NH,heliport,Stumpfield Heliport,42.92390060424805,-70.95140076,200,NA,US,US-NH,Kensington,no,05NH,,05NH,,,
6856,05VT,heliport,Port of Highgate Springs Heliport,45.013301849365234,-73.08670044,68,NA,US,US-VT,Highgate Springs,no,05VT,,05VT,,,
6864,06B,seaplane_base,Lucky Landing Marina and Seaplane Base,44.907001,-68.805,115,NA,US,US-ME,Glenburn,no,,,06B,,https://en.wikipedia.org/wiki/Lucky_Landing_Marina_and_Seaplane_Base,
6883,06MA,heliport,The Barn Heliport,42.69060134887695,-71.60900116,210,NA,US,US-MA,Pepperell,no,06MA,,06MA,,,
322276,06ME,heliport,Barker Heliport,44.415247,-70.844275,649,NA,US,US-ME,Bethel,no,06ME,,06ME,,,
6893,06NH,small_airport,Cole Farm Airport,42.92839813232422,-70.97309875,160,NA,US,US-NH,Kensington,no,06NH,,06NH,,,
6918,07B,small_airport,Blue Hill Airport,44.448001861572266,-68.56970215,360,NA,US,US-ME,Blue Hill,no,07B,,07B,,,
6922,07CT,closed,TNT Heliport,41.4529,-72.249603,430,NA,US,US-CT,Salem,no,,,,,,07CT
6937,07MA,heliport,West Pond Heliport,41.91699981689453,-70.70950317,149,NA,US,US-MA,Plymouth,no,07MA,,07MA,,,
6939,07ME,heliport,Westbrook Heliport,43.73830032348633,-70.33920288,250,NA,US,US-ME,Westbrook,no,07ME,,07ME,,,
6946,07NH,seaplane_base,Diving Rock Seaplane Base,43.17559814453125,-72.06390381,1404,NA,US,US-NH,Washington,no,07NH,,07NH,,,
6959,07VT,small_airport,Meadow STOLport,44.447200775146484,-72.91470337,801,NA,US,US-VT,Jericho,no,07VT,,07VT,,,
6966,08B,small_airport,Merrymeeting Field,44,-69.88710022,65,NA,US,US-ME,Bowdoinham,no,08B,,08B,,,
6970,08CT,seaplane_base,Seavair's Landing Seaplane Base,41.895999908447266,-73.0931015,881,NA,US,US-CT,Winsted,no,08CT,,08CT,,,
6986,08MA,small_airport,Wormid Airport,42.29399871826172,-71.49620056,360,NA,US,US-MA,Southborough,no,08MA,,08MA,,,
6988,08ME,small_airport,Lindbergh Airport,44.81539,-70.34851,554,NA,US,US-ME,Avon,no,08ME,,08ME,,,"10M, Raymond, Phillips"
6998,08NH,heliport,Memorial Hospital Heliport,44.06129837,-71.13580322,574,NA,US,US-NH,North Conway,no,08NH,,08NH,,,
7006,08R,small_airport,Richmond Airport,41.489498,-71.620598,130,NA,US,US-RI,West Kingston,no,,,08R,,https://en.wikipedia.org/wiki/Richmond_Airport_(Rhode_Island),RI04
7037,09MA,small_airport,Kallander Field,42.304298400878906,-71.50589752,403,NA,US,US-MA,Southborough,no,09MA,,09MA,,,
7038,09ME,small_airport,Perrotti Skyranch Airfield,43.34080123901367,-70.85469818,260,NA,US,US-ME,Berwick,no,09ME,,09ME,,,
7099,0B2,small_airport,Brewer Airport,44.76369857788086,-68.76779938,124,NA,US,US-ME,Brewer,no,0B2,,0B2,,,
7100,0B7,small_airport,Warren-Sugarbush Airport,44.117724,-72.826867,1470,NA,US,US-VT,Warren,no,K0B7,,0B7,,https://en.wikipedia.org/wiki/Warren-Sugarbush_Airport,
7147,0CT0,heliport,Sharon Hospital Heliport,41.881232,-73.480699,640,NA,US,US-CT,Sharon,no,0CT0,,0CT0,,,
7148,0CT1,heliport,Bristol-Myers Squibb Company Heliport,41.484798431396484,-72.7562027,350,NA,US,US-CT,Wallingford,no,0CT1,,0CT1,,,
7149,0CT2,heliport,Windham Hospital Heliport,41.71699905395508,-72.22589874,330,NA,US,US-CT,Willimantic,no,0CT2,,0CT2,,,
7150,0CT3,heliport,N B G H Heliport,41.661598205566406,-72.78790283,431,NA,US,US-CT,New Britain,no,0CT3,,0CT3,,,
7151,0CT4,heliport,Burke Heliport,41.50619888305664,-72.93979645,400,NA,US,US-CT,Prospect,no,0CT4,,0CT4,,,
7152,0CT5,heliport,St Francis Hospital Heliport,41.77450180053711,-72.6989975,184,NA,US,US-CT,Hartford,no,0CT5,,0CT5,,,
7153,0CT6,heliport,Middletown Heliport,41.59680176,-72.70449829,113,NA,US,US-CT,Middletown,no,0CT6,,0CT6,,,
7154,0CT7,heliport,Bridgeport Hospital Heliport,41.188408,-73.1667,80,NA,US,US-CT,Bridgeport,no,0CT7,,0CT7,,,
7155,0CT8,heliport,Danbury Hospital Heliport,41.405297,-73.445165,510,NA,US,US-CT,Danbury,no,0CT8,,0CT8,,,
7156,0CT9,heliport,Hartford Hospital Heliport,41.75450134277344,-72.67870331,211,NA,US,US-CT,Hartford,no,0CT9,,0CT9,,,
